"","metrics_list","SS","F.stat","p","p_adj","Sex"
"103","SMT_long_lh",139507.119407735,2864.50810149716,0,0,"Female"
"104","SMT_long_rh",89601.6844374249,1752.72064397473,0,0,"Female"
"105","SMTmc_d_lh",89086.3671806578,1741.78915651435,0,0,"Female"
"106","SMTmc_d_rh",6601.25061275042,119.705942774542,8.74786995388271e-28,5.42367937140728e-26,"Female"
"107","SMTmc_extramd_lh",9614.67147882772,174.813936156673,9.5417434288277e-40,5.91588092587317e-38,"Female"
"108","SMTmc_extramd_rh",140657.929523487,2891.45027168927,0,0,"Female"
"109","SMTmc_extratrans_lh",137698.027999163,2822.27916373202,0,0,"Female"
"110","SMTmc_extratrans_rh",168058.026298937,3551.69272263416,0,0,"Female"
"111","SMTmc_intra_lh",156986.103311042,3280.48633152558,0,0,"Female"
"112","SMTmc_intra_rh",103277.375357802,2046.78038651637,0,0,"Female"
"113","WMTI_awf_lh",87446.1689531906,1707.06641435387,0,0,"Female"
"114","WMTI_awf_rh",134947.804227039,2758.37178945624,0,0,"Female"
"115","WMTI_radead_lh",127204.02356236,2580.28543654958,0,0,"Female"
"116","WMTI_radead_rh",6590.37901802594,119.507656890379,9.66192008606794e-28,5.99039045336212e-26,"Female"
"117","WMTI_axead_lh",433.435063850135,7.81744615321712,0.00517921150403137,0.321111113249945,"Female"
"118","WMTI_axead_rh",361.211502535269,6.51440869683903,0.0107075306854243,0.663866902496306,"Female"
"119","T1_lh_thickness",218.41880162037,3.93866668500039,0.0472013919190094,2.92648629897859,"Female"
"120","T1_rh_thickness",176959.96668598,3774.24910586852,0,0,"Female"
"121","T1_lh_area",162503.292822272,3414.86489660332,0,0,"Female"
"122","T1_rh_area",58248.9900829906,1106.52132274089,2.16937377434764e-236,1.34501174009553e-234,"Female"
"123","T1_lh_volume",51149.362968941,965.341852881116,3.59128594791626e-207,2.22659728770808e-205,"Female"
"124","T1_rh_volume",175600.334064549,3739.99235264751,0,0,"Female"
